run_id	block_id	order_in_block	order_on_gpu	preferred_physical_gpu	model	mask	mask_seed	init_seed	peak_lr	steps	warmup_steps
LRP_B001_O1_local	LRP_B001	1	1	1	local_attn_8m_w256	ld_block_0p90	92001	82001	0.0001	4000	500
LRP_B001_O2_gpc	LRP_B001	2	2	3	local_attn_gpc_8m_w256	ld_block_0p90	92001	82001	0.0001	4000	500
LRP_B001_O3_grass	LRP_B001	3	3	4	grassmann_full_8m_w256	ld_block_0p90	92001	82001	0.0001	4000	500
LRP_B002_O1_gpc	LRP_B002	1	1	6	local_attn_gpc_8m_w256	within_chrom_longrange_0p90	92001	82001	0.0001	4000	500
LRP_B002_O2_grass	LRP_B002	2	2	7	grassmann_full_8m_w256	within_chrom_longrange_0p90	92001	82001	0.0001	4000	500
LRP_B002_O3_local	LRP_B002	3	4	5	local_attn_8m_w256	within_chrom_longrange_0p90	92001	82001	0.0001	4000	500
LRP_B003_O1_grass	LRP_B003	1	4	4	grassmann_full_8m_w256	ld_block_0p90	92001	82001	0.0002	4000	500
LRP_B003_O2_local	LRP_B003	2	3	1	local_attn_8m_w256	ld_block_0p90	92001	82001	0.0002	4000	500
LRP_B003_O3_gpc	LRP_B003	3	1	3	local_attn_gpc_8m_w256	ld_block_0p90	92001	82001	0.0002	4000	500
LRP_B004_O1_local	LRP_B004	1	2	5	local_attn_8m_w256	within_chrom_longrange_0p90	92001	82001	0.0002	4000	500
LRP_B004_O2_grass	LRP_B004	2	1	7	grassmann_full_8m_w256	within_chrom_longrange_0p90	92001	82001	0.0002	4000	500
LRP_B004_O3_gpc	LRP_B004	3	4	6	local_attn_gpc_8m_w256	within_chrom_longrange_0p90	92001	82001	0.0002	4000	500
LRP_B005_O1_gpc	LRP_B005	1	4	3	local_attn_gpc_8m_w256	ld_block_0p90	92001	82001	0.0004	4000	500
LRP_B005_O2_local	LRP_B005	2	2	1	local_attn_8m_w256	ld_block_0p90	92001	82001	0.0004	4000	500
LRP_B005_O3_grass	LRP_B005	3	1	4	grassmann_full_8m_w256	ld_block_0p90	92001	82001	0.0004	4000	500
LRP_B006_O1_grass	LRP_B006	1	3	7	grassmann_full_8m_w256	within_chrom_longrange_0p90	92001	82001	0.0004	4000	500
LRP_B006_O2_gpc	LRP_B006	2	2	6	local_attn_gpc_8m_w256	within_chrom_longrange_0p90	92001	82001	0.0004	4000	500
LRP_B006_O3_local	LRP_B006	3	3	5	local_attn_8m_w256	within_chrom_longrange_0p90	92001	82001	0.0004	4000	500
LRP_B007_O1_local	LRP_B007	1	4	1	local_attn_8m_w256	ld_block_0p90	92001	82001	0.0008	4000	500
LRP_B007_O2_grass	LRP_B007	2	2	4	grassmann_full_8m_w256	ld_block_0p90	92001	82001	0.0008	4000	500
LRP_B007_O3_gpc	LRP_B007	3	3	3	local_attn_gpc_8m_w256	ld_block_0p90	92001	82001	0.0008	4000	500
LRP_B008_O1_gpc	LRP_B008	1	3	6	local_attn_gpc_8m_w256	within_chrom_longrange_0p90	92001	82001	0.0008	4000	500
LRP_B008_O2_local	LRP_B008	2	1	5	local_attn_8m_w256	within_chrom_longrange_0p90	92001	82001	0.0008	4000	500
LRP_B008_O3_grass	LRP_B008	3	4	7	grassmann_full_8m_w256	within_chrom_longrange_0p90	92001	82001	0.0008	4000	500
