gene_id	tss_1based	cis_qc_variant_count	mean_maf	dev_expression_variance	target_T_g	score_model_C_gene	score_linear_B	r2_A	r2_B	r2_C_gene	r2_C_full
ENSG00000049759.17	58044367	6155	0.238135	0.973303	-0.000033	0.000253	0.000325	-0.005870	-0.000111	-0.000116	-0.001641
ENSG00000053747.16	23689443	4339	0.235742	1.108622	0.111510	0.448612	0.242729	-0.215151	0.021540	-0.123383	-0.030912
ENSG00000060069.16	79679801	5637	0.234701	0.929509	0.000021	0.468917	0.005186	0.043495	0.002571	-0.290991	0.000591
ENSG00000066926.10	57586772	6017	0.211702	0.967485	0.028212	0.272985	0.238404	-0.064164	0.034024	-0.072694	0.029772
ENSG00000074695.5	59359962	6398	0.240885	0.882130	-0.000351	0.000404	0.000523	0.055336	-0.000178	-0.000046	-0.002007
ENSG00000075336.11	74148511	6269	0.214209	1.026025	0.012694	0.046741	0.084084	0.095589	0.058173	0.043708	0.071950
ENSG00000075643.5	36187519	4664	0.205420	0.895828	0.258929	0.318311	0.450992	0.067637	-0.093123	-0.110319	-0.030771
ENSG00000078043.15	46920148	4520	0.236605	1.054688	0.100801	0.348169	0.296861	-0.125797	-0.012148	-0.145148	-0.003053
ENSG00000078142.12	41955206	4759	0.222575	1.026353	-0.000378	0.067111	0.001064	0.000005	-0.000136	-0.009915	-0.002087
ENSG00000079134.11	268050	4561	0.223421	1.115319	0.126775	0.051522	0.298176	0.120786	0.070468	0.007388	0.053788
ENSG00000081913.13	62715450	5523	0.224805	1.015626	0.026288	0.072468	0.263681	0.049671	-0.001086	-0.039825	-0.004005
ENSG00000082212.12	50878734	5378	0.234115	1.047619	-0.000265	0.000555	0.000373	-0.145168	0.000104	0.000024	0.000460
ENSG00000082397.17	5630700	6129	0.221582	0.884622	0.169784	0.217131	0.195712	0.255978	0.145870	0.054863	0.064841
ENSG00000091157.13	56651675	4781	0.207080	0.948134	0.122157	0.252993	0.251617	-0.078919	0.036743	-0.021194	-0.019484
ENSG00000091164.12	56651600	4781	0.207080	0.959383	0.104193	0.028693	0.166414	0.009066	0.012499	-0.001620	0.023890
ENSG00000101493.10	76495190	7416	0.219808	0.945523	0.022845	0.226971	0.043561	0.079548	0.037046	0.124222	0.049480
ENSG00000101544.8	80109031	4087	0.234033	0.968777	0.014590	0.485666	0.209265	0.121673	0.087601	-0.007677	-0.188782
ENSG00000101546.12	80034358	4360	0.233301	0.943411	0.066126	0.040613	0.239219	0.000005	0.049083	-0.003211	-0.050002
ENSG00000101558.13	9914002	7026	0.232096	1.000903	0.084641	0.032693	0.218236	0.051300	0.039859	0.014960	0.014271
ENSG00000101577.9	3013315	7053	0.225700	0.905614	0.097522	0.040652	0.181993	0.072265	0.124235	0.028155	0.122475
ENSG00000101596.15	2655738	7568	0.236491	0.947804	-0.000324	0.000382	0.000251	0.130237	0.000045	0.000055	-0.000178
ENSG00000101608.12	3247481	7204	0.217090	0.967185	-0.000001	0.000220	0.000310	0.012206	-0.000017	-0.000039	-0.000451
ENSG00000101624.10	12701113	6094	0.239209	1.034521	0.011456	0.168121	0.227852	-0.000005	-0.046096	-0.048289	-0.056965
ENSG00000101638.13	46759257	4590	0.220866	0.957831	0.060769	0.133544	0.274715	-0.067183	0.089921	0.053990	0.102185
ENSG00000101654.17	13726664	6317	0.219613	0.964187	-0.000411	0.000419	0.000907	-0.000005	-0.000266	0.000043	-0.002090
ENSG00000101665.9	48952052	6148	0.211410	1.004439	0.034402	0.000190	0.195143	0.155123	0.083293	0.000111	-0.171364
ENSG00000101745.16	9136777	6783	0.228613	0.939180	-0.000120	0.048442	0.000749	0.000031	0.000315	0.022356	0.003410
ENSG00000101746.15	34224952	3954	0.219922	0.923066	-0.000141	0.000563	0.000459	0.516237	0.000018	0.000267	0.001174
ENSG00000101751.10	54270029	6419	0.233529	1.074521	0.192793	0.507000	0.375283	0.096227	0.046221	0.030504	0.069201
ENSG00000101752.11	21704957	3089	0.212288	0.805129	0.048690	0.267212	0.467087	-0.003930	-0.272459	-0.047584	-0.067078
ENSG00000101773.18	22798261	4160	0.237728	0.983845	-0.000522	0.000373	0.001211	0.000029	0.000771	0.000188	0.006378
ENSG00000101782.14	23452823	4160	0.229753	0.882301	-0.000137	0.039963	0.001143	-0.054183	0.000043	-0.001177	-0.000416
ENSG00000118276.11	31684723	5120	0.230648	0.837225	-0.000036	0.027729	0.000350	-0.015352	-0.000044	0.003115	-0.000023
ENSG00000118680.13	3261909	7229	0.239518	0.881678	0.135534	0.191973	0.174160	0.074405	0.053060	0.017565	0.012613
ENSG00000119537.17	63367327	5360	0.209310	0.882528	0.037779	0.038869	0.147088	-0.000600	0.015722	0.004603	-0.028027
ENSG00000122490.18	79951664	4568	0.217008	0.931847	-0.000033	0.000670	0.000648	0.087096	0.000208	-0.000011	0.000508
ENSG00000128789.20	12658135	6185	0.243848	0.901007	-0.000149	0.000816	0.000258	0.004453	-0.000048	-0.000046	-0.000842
ENSG00000128791.11	9334767	6911	0.234342	0.959506	-0.000072	0.000403	0.000317	0.000006	0.000018	0.000004	0.000250
ENSG00000131196.17	79395856	6845	0.243278	0.996103	-0.000453	0.000449	0.000884	0.000029	0.000539	0.000166	0.004708
ENSG00000132199.19	712676	6030	0.240641	0.968478	0.004653	0.275568	0.049615	-0.031722	0.020252	0.084165	0.019450
ENSG00000132874.14	45212995	4940	0.224642	0.952363	0.064703	0.527024	0.224480	0.068834	-0.054138	-0.292233	-0.126668
ENSG00000133313.14	74495816	5810	0.211100	0.960372	0.047484	0.143795	0.191216	-0.056202	0.037923	-0.001642	-0.016307
ENSG00000134030.13	48539046	5466	0.213770	0.992370	0.003936	0.037532	0.032123	-0.049176	0.020518	0.007586	0.021248
ENSG00000134049.5	47176374	4484	0.236100	0.912652	0.050413	0.003451	0.216989	0.079867	0.067731	-0.000428	0.025655
ENSG00000134265.12	10525905	7296	0.249479	0.786486	-0.000217	0.038647	0.000606	0.046779	0.000513	0.014986	0.005418
ENSG00000134278.15	12658042	6185	0.243848	0.937740	0.093775	0.226309	0.224887	-0.057723	0.059101	0.041028	0.090280
ENSG00000134440.11	57622213	6003	0.223600	1.004283	0.006367	0.000634	0.058039	0.060657	0.035631	0.000465	0.006026
ENSG00000134444.14	62187255	5476	0.203402	0.949824	0.000060	0.000552	0.008282	-0.007733	0.003909	-0.000080	0.003414
ENSG00000134504.13	26657401	4877	0.223275	0.927119	0.218952	0.223246	0.250061	-0.063222	0.015921	-0.056950	-0.072502
ENSG00000134508.12	23134564	4011	0.245296	1.005786	0.024598	0.165914	0.045934	0.046141	0.009979	-0.036197	-0.000919
ENSG00000134758.13	32092120	4936	0.236784	0.990479	-0.000236	0.046260	0.000795	0.000006	-0.000005	-0.013784	0.000113
ENSG00000134759.13	36129444	4752	0.204525	0.979818	-0.000628	0.055751	0.001719	0.000030	0.000492	-0.008822	0.002739
ENSG00000134775.15	36297714	4691	0.220052	0.869963	0.030751	0.000243	0.158683	0.257958	0.061293	0.000183	0.001976
ENSG00000134779.14	36829216	4609	0.223568	1.117904	0.276284	0.326167	0.445200	0.129674	0.152183	0.115701	0.183853
ENSG00000141380.13	26091217	4883	0.220540	1.105498	0.274615	0.285859	0.350043	-0.276598	0.009655	-0.009265	-0.084884
ENSG00000141384.12	26225936	4889	0.212565	1.049679	0.305549	0.460938	0.344059	0.162501	0.219385	0.274337	0.200924
ENSG00000141385.9	12377314	6522	0.230257	0.948380	-0.000161	0.000565	0.000696	0.000010	-0.000060	-0.000204	-0.001671
ENSG00000141391.13	12407896	6490	0.237891	0.943465	0.015056	0.160008	0.046775	0.002407	-0.010591	-0.001107	0.000259
ENSG00000141425.17	36067576	4752	0.215853	0.800291	0.017067	0.125469	0.138076	0.006172	-0.005457	0.014044	0.011616
ENSG00000141428.16	35972083	4793	0.227279	0.990380	0.083754	0.496183	0.335383	0.136769	0.157666	0.041332	0.104071
ENSG00000141441.15	32470484	4563	0.211491	0.966645	-0.000131	0.000455	0.000571	0.066260	0.000063	0.000258	-0.023222
ENSG00000141446.10	21600884	2727	0.216016	0.972926	-0.000512	0.000875	0.002238	0.000026	0.000826	0.000382	0.006138
ENSG00000141448.8	22170933	3823	0.241715	0.800466	0.033650	0.148795	0.247727	0.005701	-0.040863	-0.008770	-0.369281
ENSG00000141452.9	23503470	4188	0.248519	0.843984	0.086993	0.346847	0.232523	0.177169	0.153438	0.023168	0.136867
ENSG00000141469.17	45724127	4992	0.221924	1.066534	0.193319	0.305026	0.575365	0.251921	0.042429	0.052256	-0.009558
ENSG00000141642.8	50967991	5113	0.223844	1.048289	-0.000029	0.000711	0.000547	-0.011212	-0.000447	-0.000287	-0.004792
ENSG00000141644.17	50281774	5885	0.233057	1.010780	0.032364	0.286225	0.056554	-0.016613	0.000431	-0.128198	-0.051286
ENSG00000141665.12	74147865	6271	0.223014	1.010605	0.005376	0.062407	0.032824	-0.012347	0.009187	0.019749	0.011500
ENSG00000141682.11	59899948	6649	0.233154	0.948200	-0.000089	0.000618	0.000461	-0.002323	-0.000088	0.000197	0.001160
ENSG00000141759.14	80033949	4361	0.238542	1.003051	0.070527	0.560924	0.220032	0.013176	0.096102	-0.103614	0.063446
ENSG00000150636.17	68715299	6904	0.210807	0.865058	0.055781	0.415866	0.138189	-0.049013	0.071542	-0.199711	0.110787
ENSG00000152217.18	44680173	4668	0.235010	1.072654	0.112897	0.160914	0.203366	0.074207	-0.003071	-0.125802	-0.144730
ENSG00000152223.13	45967339	5042	0.228060	1.032663	-0.000177	0.036747	0.000575	0.000008	0.000274	0.018937	0.002194
ENSG00000152229.18	46072260	4966	0.248063	1.029476	0.002263	0.152274	0.056229	0.015939	-0.002398	-0.004091	-0.002211
ENSG00000152234.15	46104331	4958	0.226025	0.918419	0.008039	0.000494	0.031235	0.000000	-0.008916	-0.000316	-0.019134
ENSG00000152242.10	46173553	4860	0.235124	0.960230	0.070141	0.176824	0.155240	0.186952	0.012604	0.029985	0.031369
ENSG00000153339.13	31953136	5096	0.239355	0.860094	-0.000071	0.133835	0.000241	0.012862	-0.000085	-0.058586	-0.001062
ENSG00000153391.15	35497991	4727	0.198633	0.949791	0.101634	0.039701	0.220341	-0.013187	0.020501	0.013659	0.011952
ENSG00000154040.20	24138956	4646	0.227051	1.095156	0.075578	0.198302	0.336623	0.062336	0.096700	-0.018592	0.030454
ENSG00000154059.10	24426616	4812	0.228027	1.057761	0.001410	0.214844	0.036294	0.201720	0.023920	0.071085	0.045363
ENSG00000154065.16	23662885	4335	0.221224	0.978800	0.030925	0.000573	0.132381	-0.096197	0.050875	-0.000033	0.008127
ENSG00000154611.14	26133852	4877	0.227002	1.042397	0.256942	0.030458	0.541366	0.125561	-0.266774	0.001999	-0.094918
ENSG00000154655.15	6415237	6165	0.220492	1.014772	-0.000066	0.000339	0.000236	0.187330	0.000058	0.000125	0.000437
ENSG00000154832.14	50288304	5891	0.245101	0.876832	0.005521	0.030823	0.044175	0.020496	-0.008776	-0.010115	-0.022127
ENSG00000154845.15	9615240	6943	0.232796	1.168064	0.073596	0.000552	0.215235	0.006044	-0.076221	-0.000037	-0.096426
ENSG00000154864.12	11148762	7625	0.234521	1.018749	0.022324	0.378764	0.526884	0.132185	-0.182486	-0.092396	0.001348
ENSG00000154889.16	11908711	6840	0.220931	0.896648	0.003441	0.000918	0.083515	0.178364	0.076301	0.000925	0.014314
ENSG00000158201.9	21704805	3089	0.212288	0.835909	-0.000008	0.003105	0.000769	-0.072031	0.000151	0.001989	0.002508
ENSG00000158270.11	500722	5197	0.236849	0.915774	0.059243	0.180746	0.171975	-0.034835	0.029168	-0.004704	-0.003503
ENSG00000166347.18	74292016	6252	0.227148	1.090189	0.218400	0.387221	0.613900	-0.064509	-0.251931	-0.195562	-0.034380
ENSG00000166479.9	68715208	6906	0.208675	0.893927	-0.000253	0.000536	0.000812	-0.043664	0.000364	0.000102	0.002901
ENSG00000166845.14	54357965	6218	0.242220	0.842717	0.013288	0.051246	0.075142	0.000040	0.027100	0.015317	0.027160
ENSG00000166974.12	34976928	4111	0.184749	0.885855	0.050667	0.113792	0.234270	0.078434	0.083249	0.052734	0.032574
ENSG00000167216.16	46917506	4521	0.249463	1.005545	0.017904	0.000704	0.055189	0.002973	0.030318	0.000293	0.041712
ENSG00000167306.19	50195093	5916	0.234587	0.981395	0.090204	0.184156	0.198395	0.024415	0.059056	0.019171	0.016124
ENSG00000167315.17	49813960	6169	0.223877	0.905426	-0.000135	0.000819	0.000339	-0.000001	0.000243	0.000207	0.003104
ENSG00000168461.12	9708165	7075	0.227132	1.040340	0.147331	0.195044	0.248490	0.011835	0.051414	0.005027	0.047570
ENSG00000168675.18	13217498	5695	0.244743	1.054852	0.069520	0.321135	0.221172	-0.012256	-0.050215	-0.098451	-0.062661
ENSG00000170579.16	4455335	6729	0.215967	1.019297	-0.000037	0.000401	0.000234	0.082248	0.000060	0.000109	0.000717
ENSG00000170677.5	70288901	5950	0.209229	0.872122	-0.000793	0.000540	0.000639	-0.000015	-0.000311	-0.000386	-0.004204
ENSG00000172361.5	50266522	5891	0.239258	1.025792	-0.000300	0.000469	0.000424	0.037004	0.000152	-0.000072	0.000609
ENSG00000172466.15	35345482	4585	0.209147	0.879592	-0.000418	0.000792	0.000562	-0.032930	-0.000004	0.000083	0.000852
ENSG00000174448.8	54357916	6218	0.242220	0.863825	0.005804	0.042476	0.049341	0.001697	0.009167	0.011770	0.018414
ENSG00000175322.11	14132490	6361	0.245980	0.935716	0.048800	0.269333	0.271326	-0.041408	0.036681	-0.058484	0.008889
ENSG00000175354.19	12929643	6110	0.240999	0.906296	0.042512	0.000444	0.244247	0.091397	-0.058652	-0.000056	-0.001978
ENSG00000175387.15	47931146	4968	0.223958	0.931980	-0.000006	0.000387	0.000287	0.013492	0.000138	0.000038	0.001083
ENSG00000176014.12	12307669	6507	0.236898	1.013683	0.080294	0.640924	0.213378	0.051620	0.075065	-0.228132	0.089204
ENSG00000176225.13	70205945	6017	0.216423	0.835212	-0.000280	0.000623	0.000531	0.098682	-0.000313	0.000021	-0.002610
ENSG00000177426.20	3411608	7140	0.237337	1.089532	0.116871	0.000504	0.453796	0.004704	-0.209580	0.000052	0.012277
ENSG00000177576.11	49487252	6254	0.210791	0.932235	0.028016	0.315901	0.144010	-0.039929	0.063152	-0.218552	0.027168
ENSG00000178127.12	9102630	6730	0.217725	0.909970	0.083189	0.189633	0.182013	0.000011	0.008840	0.065126	-0.016039
ENSG00000179981.10	75210755	5880	0.222900	0.994924	0.464562	0.335877	0.759653	0.180343	0.131573	0.258298	0.284093
