sample_id	family	pop	super_pop	sex	primary_role	development_role
HG00096	HG00096	GBR	EUR	1	bridge_test	
HG00097	HG00097	GBR	EUR	2	bridge_test	
HG00099	HG00099	GBR	EUR	2	bridge_test	
HG00100	HG00100	GBR	EUR	2	bridge_test	
HG00101	HG00101	GBR	EUR	1	bridge_test	
HG00102	HG00102	GBR	EUR	2	bridge_test	
HG00103	HG00103	GBR	EUR	1	bridge_test	
HG00105	HG00105	GBR	EUR	1	bridge_test	
HG00106	HG00106	GBR	EUR	2	bridge_test	
HG00108	HG00108	GBR	EUR	1	bridge_test	
HG00109	HG00109	GBR	EUR	1	bridge_test	
HG00110	HG00110	GBR	EUR	2	bridge_test	
HG00111	HG00111	GBR	EUR	2	bridge_test	
HG00112	HG00112	GBR	EUR	1	bridge_test	
HG00114	HG00114	GBR	EUR	1	bridge_test	
HG00115	HG00115	GBR	EUR	1	development	dev_train
HG00116	HG00116	GBR	EUR	1	bridge_test	
HG00117	HG00117	GBR	EUR	1	development	dev_train
HG00118	HG00118	GBR	EUR	2	bridge_test	
HG00119	HG00119	GBR	EUR	1	development	dev_train
HG00120	HG00120	GBR	EUR	2	bridge_test	
HG00121	HG00121	GBR	EUR	2	development	dev_train
HG00122	HG00122	GBR	EUR	2	bridge_test	
HG00123	HG00123	GBR	EUR	2	development	dev_train
HG00125	HG00125	GBR	EUR	2	bridge_test	
HG00126	HG00126	GBR	EUR	1	development	dev_train
HG00127	HG00127	GBR	EUR	2	bridge_test	
HG00128	HG00128	GBR	EUR	2	development	dev_train
HG00129	HG00129	GBR	EUR	1	bridge_test	
HG00130	HG00130	GBR	EUR	2	development	dev_train
HG00131	HG00131	GBR	EUR	1	bridge_test	
HG00132	HG00132	GBR	EUR	2	development	dev_train
HG00133	HG00133	GBR	EUR	2	bridge_test	
HG00136	HG00136	GBR	EUR	1	development	dev_train
HG00137	HG00137	GBR	EUR	2	bridge_test	
HG00138	HG00138	GBR	EUR	1	development	dev_train
HG00139	HG00139	GBR	EUR	1	bridge_test	
HG00141	HG00141	GBR	EUR	1	development	dev_train
HG00142	HG00142	GBR	EUR	1	bridge_test	
HG00143	HG00143	GBR	EUR	1	development	dev_train
HG00145	HG00145	GBR	EUR	1	bridge_test	
HG00146	GBR002	GBR	EUR	2	bridge_test	
HG00148	HG00148	GBR	EUR	1	development	dev_train
HG00149	HG00149	GBR	EUR	1	bridge_test	
HG00150	HG00150	GBR	EUR	2	development	dev_train
HG00151	HG00151	GBR	EUR	1	bridge_test	
HG00154	HG00154	GBR	EUR	2	development	dev_train
HG00155	GBR001	GBR	EUR	1	bridge_test	
HG00157	HG00157	GBR	EUR	1	bridge_test	
HG00158	GBR003	GBR	EUR	2	bridge_test	
HG00159	HG00159	GBR	EUR	1	development	dev_train
HG00160	HG00160	GBR	EUR	1	bridge_test	
HG00171	HG00171	FIN	EUR	2	bridge_test	
HG00173	HG00173	FIN	EUR	2	bridge_test	
HG00174	HG00174	FIN	EUR	2	bridge_test	
HG00176	HG00176	FIN	EUR	2	bridge_test	
HG00177	HG00177	FIN	EUR	2	bridge_test	
HG00178	HG00178	FIN	EUR	2	bridge_test	
HG00179	HG00179	FIN	EUR	2	bridge_test	
HG00180	HG00180	FIN	EUR	2	bridge_test	
HG00181	HG00181	FIN	EUR	1	bridge_test	
HG00182	HG00182	FIN	EUR	1	bridge_test	
HG00183	HG00183	FIN	EUR	1	bridge_test	
HG00185	HG00185	FIN	EUR	1	bridge_test	
HG00186	HG00186	FIN	EUR	1	bridge_test	
HG00187	HG00187	FIN	EUR	1	bridge_test	
HG00188	HG00188	FIN	EUR	1	bridge_test	
HG00189	HG00189	FIN	EUR	1	bridge_test	
HG00231	HG00231	GBR	EUR	2	development	dev_train
HG00232	HG00232	GBR	EUR	2	bridge_test	
HG00233	HG00233	GBR	EUR	2	development	dev_train
HG00234	HG00234	GBR	EUR	1	bridge_test	
HG00235	HG00235	GBR	EUR	2	development	dev_train
HG00236	HG00236	GBR	EUR	2	bridge_test	
HG00238	HG00238	GBR	EUR	2	development	dev_validation
HG00239	HG00239	GBR	EUR	2	bridge_test	
HG00240	HG00240	GBR	EUR	2	development	dev_train
HG00242	HG00242	GBR	EUR	1	task_gate	
HG00243	HG00243	GBR	EUR	1	bridge_test	
HG00244	HG00244	GBR	EUR	1	development	dev_validation
HG00245	HG00245	GBR	EUR	2	task_gate	
HG00246	HG00246	GBR	EUR	1	bridge_test	
HG00250	HG00250	GBR	EUR	2	development	dev_train
HG00251	HG00251	GBR	EUR	1	task_gate	
HG00252	HG00252	GBR	EUR	1	bridge_test	
HG00253	HG00253	GBR	EUR	2	development	dev_validation
HG00255	HG00255	GBR	EUR	2	task_gate	
HG00256	HG00256	GBR	EUR	1	bridge_test	
HG00257	HG00257	GBR	EUR	2	development	dev_train
HG00258	HG00258	GBR	EUR	2	task_gate	
HG00259	HG00259	GBR	EUR	2	bridge_test	
HG00260	HG00260	GBR	EUR	1	development	dev_validation
HG00261	HG00261	GBR	EUR	2	task_gate	
HG00262	HG00262	GBR	EUR	2	bridge_test	
HG00263	HG00263	GBR	EUR	2	development	dev_train
HG00264	HG00264	GBR	EUR	1	task_gate	
HG00265	HG00265	GBR	EUR	1	bridge_test	
HG00266	HG00266	FIN	EUR	2	bridge_test	
HG00267	HG00267	FIN	EUR	1	bridge_test	
HG00268	HG00268	FIN	EUR	2	bridge_test	
HG00269	HG00269	FIN	EUR	2	bridge_test	
HG00271	HG00271	FIN	EUR	1	development	dev_train
HG00272	HG00272	FIN	EUR	2	bridge_test	
HG00273	HG00273	FIN	EUR	1	development	dev_train
HG00274	HG00274	FIN	EUR	2	bridge_test	
HG00275	HG00275	FIN	EUR	2	development	dev_train
HG00276	HG00276	FIN	EUR	2	bridge_test	
HG00277	HG00277	FIN	EUR	1	development	dev_train
HG00278	HG00278	FIN	EUR	1	bridge_test	
HG00280	HG00280	FIN	EUR	1	development	dev_train
HG00281	HG00281	FIN	EUR	2	bridge_test	
HG00282	HG00282	FIN	EUR	2	development	dev_train
HG00284	HG00284	FIN	EUR	1	bridge_test	
HG00285	HG00285	FIN	EUR	2	development	dev_train
HG00306	HG00306	FIN	EUR	2	bridge_test	
HG00308	HG00308	FIN	EUR	1	development	dev_train
HG00309	HG00309	FIN	EUR	2	bridge_test	
HG00310	HG00310	FIN	EUR	1	development	dev_train
HG00311	HG00311	FIN	EUR	1	bridge_test	
HG00313	HG00313	FIN	EUR	2	development	dev_train
HG00315	HG00315	FIN	EUR	2	bridge_test	
HG00319	HG00319	FIN	EUR	2	development	dev_train
HG00320	HG00320	FIN	EUR	2	bridge_test	
HG00321	HG00321	FIN	EUR	1	development	dev_train
HG00323	HG00323	FIN	EUR	2	bridge_test	
HG00324	HG00324	FIN	EUR	2	development	dev_train
HG00325	HG00325	FIN	EUR	1	bridge_test	
HG00326	HG00326	FIN	EUR	2	development	dev_train
HG00327	HG00327	FIN	EUR	2	bridge_test	
HG00328	HG00328	FIN	EUR	2	development	dev_train
HG00329	HG00329	FIN	EUR	1	bridge_test	
HG00330	HG00330	FIN	EUR	2	development	dev_train
HG00331	HG00331	FIN	EUR	2	bridge_test	
HG00332	HG00332	FIN	EUR	2	development	dev_train
HG00334	HG00334	FIN	EUR	2	bridge_test	
HG00335	HG00335	FIN	EUR	1	development	dev_train
HG00336	HG00336	FIN	EUR	1	bridge_test	
HG00337	HG00337	FIN	EUR	2	development	dev_train
HG00338	HG00338	FIN	EUR	1	bridge_test	
HG00339	HG00339	FIN	EUR	2	development	dev_train
HG00341	HG00341	FIN	EUR	1	bridge_test	
HG00342	HG00342	FIN	EUR	1	development	dev_train
HG00343	HG00343	FIN	EUR	2	bridge_test	
HG00344	HG00344	FIN	EUR	2	development	dev_train
HG00345	HG00345	FIN	EUR	1	bridge_test	
HG00346	HG00346	FIN	EUR	2	development	dev_validation
HG00349	HG00349	FIN	EUR	2	bridge_test	
HG00350	HG00350	FIN	EUR	2	development	dev_train
HG00351	HG00351	FIN	EUR	1	task_gate	
HG00353	HG00353	FIN	EUR	2	bridge_test	
HG00355	HG00355	FIN	EUR	2	development	dev_validation
HG00356	HG00356	FIN	EUR	2	task_gate	
HG00358	HG00358	FIN	EUR	1	bridge_test	
HG00360	HG00360	FIN	EUR	1	development	dev_train
HG00361	HG00361	FIN	EUR	2	task_gate	
HG00362	HG00362	FIN	EUR	2	bridge_test	
HG00364	HG00364	FIN	EUR	2	development	dev_validation
HG00365	HG00365	FIN	EUR	2	task_gate	
HG00366	HG00366	FIN	EUR	1	bridge_test	
HG00367	HG00367	FIN	EUR	2	development	dev_train
HG00369	HG00369	FIN	EUR	1	task_gate	
HG00371	HG00371	FIN	EUR	1	bridge_test	
HG00372	HG00372	FIN	EUR	1	development	dev_validation
HG00373	HG00373	FIN	EUR	2	task_gate	
HG00375	HG00375	FIN	EUR	1	bridge_test	
HG00376	HG00376	FIN	EUR	2	development	dev_train
HG00378	HG00378	FIN	EUR	2	task_gate	
HG00379	HG00379	FIN	EUR	2	bridge_test	
HG00380	HG00380	FIN	EUR	2	development	dev_validation
HG00381	HG00381	FIN	EUR	2	task_gate	
