block_id	chrom	core_start0	core_end0	core_start1	core_end1	guard_start0	guard_end0	guard_start1	guard_end1	split	coordinate_contract	block_source
DEV_CM_22_0000	22	16051346	16173178	16051347	16173178	16051346	16173178	16051347	16173178	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0001	22	16173178	16299535	16173179	16299535	16173178	16299535	16173179	16299535	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0002	22	16299535	16851639	16299536	16851639	16299535	16851639	16299536	16851639	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0003	22	16851639	17228795	16851640	17228795	16851639	17228795	16851640	17228795	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0004	22	17228795	17397874	17228796	17397874	17228795	17397874	17228796	17397874	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0005	22	17397874	17580393	17397875	17580393	17397874	17580393	17397875	17580393	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0006	22	17580393	17695702	17580394	17695702	17580393	17695702	17580394	17695702	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0007	22	17695702	17725763	17695703	17725763	17695702	17725763	17695703	17725763	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0008	22	17725763	17748736	17725764	17748736	17725763	17748736	17725764	17748736	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0009	22	17748736	17831440	17748737	17831440	17748736	17831440	17748737	17831440	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0010	22	17831440	17987961	17831441	17987961	17831440	17987961	17831441	17987961	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0011	22	17987961	18244510	17987962	18244510	17987961	18244510	17987962	18244510	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0012	22	18244510	18409601	18244511	18409601	18244510	18409601	18244511	18409601	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0013	22	18409601	18558510	18409602	18558510	18409601	18558510	18409602	18558510	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0014	22	18558510	18778347	18558511	18778347	18558510	18778347	18558511	18778347	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0015	22	18778347	18877786	18778348	18877786	18778347	18877786	18778348	18877786	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0016	22	18877786	18912778	18877787	18912778	18877786	18912778	18877787	18912778	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0017	22	18912778	19255855	18912779	19255855	18912778	19255855	18912779	19255855	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0018	22	19255855	19634133	19255856	19634133	19255855	19634133	19255856	19634133	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0019	22	19634133	19731816	19634134	19731816	19634133	19731816	19634134	19731816	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0020	22	19731816	19948741	19731817	19948741	19731816	19948741	19731817	19948741	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0021	22	19948741	20228541	19948742	20228541	19948741	20228541	19948742	20228541	buffer_validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0022	22	20228541	20278952	20228542	20278952	20228541	20278952	20228542	20278952	buffer_validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0023	22	20278952	20462489	20278953	20462489	19948803	20731902	19948804	20731902	validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0024	22	20462489	20659640	20462490	20659640	20257667	20959784	20257668	20959784	validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0025	22	20659640	20721136	20659641	20721136	20351160	20996207	20351161	20996207	validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0026	22	20721136	20954759	20721137	20954759	20420141	21342667	20420142	21342667	validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0027	22	20954759	20996025	20954760	20996025	20623178	21455366	20623179	21455366	validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
DEV_CM_22_0028	22	20996025	21331555	20996026	21331555	20720982	21773155	20720983	21773155	validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_CM
