block_id	chrom	core_start0	core_end0	core_start1	core_end1	guard_start0	guard_end0	guard_start1	guard_end1	split	coordinate_contract	block_source
DEV_22_0000	22	0	1000000	1	1000000	0	1000000	1	1000000	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0001	22	1000000	2000000	1000001	2000000	1000000	2000000	1000001	2000000	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0002	22	2000000	3000000	2000001	3000000	2000000	3000000	2000001	3000000	buffer_validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0003	22	3000000	4000000	3000001	4000000	2000000	5000000	2000001	5000000	validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0004	22	4000000	5000000	4000001	5000000	4000000	5000000	4000001	5000000	buffer_validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0005	22	5000000	6000000	5000001	6000000	5000000	6000000	5000001	6000000	buffer_validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0006	22	6000000	7000000	6000001	7000000	5000000	8000000	5000001	8000000	validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0007	22	7000000	8000000	7000001	8000000	7000000	8000000	7000001	8000000	buffer_test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0008	22	8000000	9000000	8000001	9000000	7000000	10000000	7000001	10000000	test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0009	22	9000000	10000000	9000001	10000000	9000000	10000000	9000001	10000000	buffer_test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0010	22	10000000	11000000	10000001	11000000	9000000	12000000	9000001	12000000	validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0011	22	11000000	12000000	11000001	12000000	11000000	12000000	11000001	12000000	buffer_validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0012	22	12000000	13000000	12000001	13000000	12000000	13000000	12000001	13000000	buffer_validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
